Symbol,Path,Description
MGLUV580W1,BVMF-Equities\MGLUV580W1,"MGLUE       ON    5,80"
DOLJ26P004550,BVMF-Derivatives\DOLJ26P004550,OPCOES DE DOLAR COMERCIAL
BABAA194,BVMF-Equities\BABAA194,"BABAE       DRN  19,40"
DOLJ26C004600E,BVMF-Derivatives\DOLJ26C004600E,OPCOES DE DOLAR COMERCIAL
MGLUM509,BVMF-Equities\MGLUM509,"MGLUE       ON    5,09"
DOLJ26C004600,BVMF-Derivatives\DOLJ26C004600,OPCOES DE DOLAR COMERCIAL
MGLUJ700W1,BVMF-Equities\MGLUJ700W1,"MGLU        ON    7,00"
DOLJ26P004600,BVMF-Derivatives\DOLJ26P004600,OPCOES DE DOLAR COMERCIAL
MGLUV800W1,BVMF-Equities\MGLUV800W1,"MGLUE       ON    8,00"
DOLJ26C004650E,BVMF-Derivatives\DOLJ26C004650E,OPCOES DE DOLAR COMERCIAL
LRENJ170W1,BVMF-Equities\LRENJ170W1,"LREN  FM/EJ ON   16,81"
DOLJ26C004650,BVMF-Derivatives\DOLJ26C004650,OPCOES DE DOLAR COMERCIAL
MGLUJ880W1,BVMF-Equities\MGLUJ880W1,"MGLU        ON    8,80"
DOLJ26P004600E,BVMF-Derivatives\DOLJ26P004600E,OPCOES DE DOLAR COMERCIAL
MGLUM519,BVMF-Equities\MGLUM519,"MGLUE       ON    5,19"
DOLJ26P004650,BVMF-Derivatives\DOLJ26P004650,OPCOES DE DOLAR COMERCIAL
BABAA189,BVMF-Equities\BABAA189,"BABAE       DRN  18,90"
DOLJ26P004700,BVMF-Derivatives\DOLJ26P004700,OPCOES DE DOLAR COMERCIAL
MGLUA539,BVMF-Equities\MGLUA539,"MGLUE       ON    5,39"
DOLJ26P004650E,BVMF-Derivatives\DOLJ26P004650E,OPCOES DE DOLAR COMERCIAL
MGLUM589,BVMF-Equities\MGLUM589,"MGLUE       ON    5,89"
DOLJ26P004700E,BVMF-Derivatives\DOLJ26P004700E,OPCOES DE DOLAR COMERCIAL
MGLUA619,BVMF-Equities\MGLUA619,"MGLUE       ON    6,19"
DOLJ26C004700E,BVMF-Derivatives\DOLJ26C004700E,OPCOES DE DOLAR COMERCIAL
LRENV200W1,BVMF-Equities\LRENV200W1,"LRENE   /EJ ON   19,81"
DOLJ26C004700,BVMF-Derivatives\DOLJ26C004700,OPCOES DE DOLAR COMERCIAL
MGLUJ580W1,BVMF-Equities\MGLUJ580W1,"MGLU        ON    5,80"
DOLJ26P004750E,BVMF-Derivatives\DOLJ26P004750E,OPCOES DE DOLAR COMERCIAL
LRENV180W1,BVMF-Equities\LRENV180W1,"LRENE   /EJ ON   17,81"
DOLJ26C004750E,BVMF-Derivatives\DOLJ26C004750E,OPCOES DE DOLAR COMERCIAL
MGLUJ500W1,BVMF-Equities\MGLUJ500W1,"MGLU        ON    5,00"
DOLJ26C004750,BVMF-Derivatives\DOLJ26C004750,OPCOES DE DOLAR COMERCIAL
MGLUM549,BVMF-Equities\MGLUM549,"MGLUE       ON    5,49"
DOLJ26C004800,BVMF-Derivatives\DOLJ26C004800,OPCOES DE DOLAR COMERCIAL
BABAA184,BVMF-Equities\BABAA184,"BABAE       DRN  18,40"
DOLJ26P004750,BVMF-Derivatives\DOLJ26P004750,OPCOES DE DOLAR COMERCIAL
MGLUV880W1,BVMF-Equities\MGLUV880W1,"MGLUE       ON    8,80"
DOLJ26C004850E,BVMF-Derivatives\DOLJ26C004850E,OPCOES DE DOLAR COMERCIAL
MGLUV840W1,BVMF-Equities\MGLUV840W1,"MGLUE       ON    8,40"
DOLJ26C004800E,BVMF-Derivatives\DOLJ26C004800E,OPCOES DE DOLAR COMERCIAL
BABAA196,BVMF-Equities\BABAA196,"BABA        DRN  19,65"
DOLJ26P004800,BVMF-Derivatives\DOLJ26P004800,OPCOES DE DOLAR COMERCIAL
LRENV115W1,BVMF-Equities\LRENV115W1,"LRENE   /EJ ON   11,31"
DOLJ26C004850,BVMF-Derivatives\DOLJ26C004850,OPCOES DE DOLAR COMERCIAL
LRENJ110W1,BVMF-Equities\LRENJ110W1,"LREN    /EJ ON   10,81"
DOLJ26P004800E,BVMF-Derivatives\DOLJ26P004800E,OPCOES DE DOLAR COMERCIAL
LRENJ130W1,BVMF-Equities\LRENJ130W1,"LREN    /EJ ON   12,81"
DOLJ26C004900E,BVMF-Derivatives\DOLJ26C004900E,OPCOES DE DOLAR COMERCIAL
MGLUV500W1,BVMF-Equities\MGLUV500W1,"MGLUE       ON    5,00"
DOLJ26P004900,BVMF-Derivatives\DOLJ26P004900,OPCOES DE DOLAR COMERCIAL
MGLUA559,BVMF-Equities\MGLUA559,"MGLUE       ON    5,59"
DOLJ26P004850E,BVMF-Derivatives\DOLJ26P004850E,OPCOES DE DOLAR COMERCIAL
MGLUM529,BVMF-Equities\MGLUM529,"MGLUE       ON    5,29"
DOLJ26C004900,BVMF-Derivatives\DOLJ26C004900,OPCOES DE DOLAR COMERCIAL
BABAM196,BVMF-Equities\BABAM196,"BABAE       DRN  19,65"
DOLJ26P004850,BVMF-Derivatives\DOLJ26P004850,OPCOES DE DOLAR COMERCIAL
LRENV140W1,BVMF-Equities\LRENV140W1,"LRENE   /EJ ON   13,81"
DOLJ26P004950,BVMF-Derivatives\DOLJ26P004950,OPCOES DE DOLAR COMERCIAL
MGLUV520W1,BVMF-Equities\MGLUV520W1,"MGLUE       ON    5,20"
DOLJ26P004950E,BVMF-Derivatives\DOLJ26P004950E,OPCOES DE DOLAR COMERCIAL
MGLUJ680W1,BVMF-Equities\MGLUJ680W1,"MGLU        ON    6,80"
DOLJ26C004950,BVMF-Derivatives\DOLJ26C004950,OPCOES DE DOLAR COMERCIAL
BABAM176,BVMF-Equities\BABAM176,"BABAE       DRN  17,65"
DOLJ26P004900E,BVMF-Derivatives\DOLJ26P004900E,OPCOES DE DOLAR COMERCIAL
BABAM194,BVMF-Equities\BABAM194,"BABAE       DRN  19,40"
DOLJ26C004950E,BVMF-Derivatives\DOLJ26C004950E,OPCOES DE DOLAR COMERCIAL
LRENJ150W1,BVMF-Equities\LRENJ150W1,"LREN    /EJ ON   14,81"
DOLJ26C005050,BVMF-Derivatives\DOLJ26C005050,OPCOES DE DOLAR COMERCIAL
LRENJ205W1,BVMF-Equities\LRENJ205W1,"LREN    /EJ ON   20,31"
DOLJ26C005000E,BVMF-Derivatives\DOLJ26C005000E,OPCOES DE DOLAR COMERCIAL
MGLUJ760W1,BVMF-Equities\MGLUJ760W1,"MGLU        ON    7,60"
DOLJ26P005000E,BVMF-Derivatives\DOLJ26P005000E,OPCOES DE DOLAR COMERCIAL
MGLUJ840W1,BVMF-Equities\MGLUJ840W1,"MGLU        ON    8,40"
DOLJ26P005000,BVMF-Derivatives\DOLJ26P005000,OPCOES DE DOLAR COMERCIAL
MGLUM559,BVMF-Equities\MGLUM559,"MGLUE       ON    5,59"
DOLJ26C005000,BVMF-Derivatives\DOLJ26C005000,OPCOES DE DOLAR COMERCIAL
LRENV205W1,BVMF-Equities\LRENV205W1,"LRENE   /EJ ON   20,31"
DOLJ26P005050E,BVMF-Derivatives\DOLJ26P005050E,OPCOES DE DOLAR COMERCIAL
LRENJ145W1,BVMF-Equities\LRENJ145W1,"LREN    /EJ ON   14,31"
DOLJ26C005100,BVMF-Derivatives\DOLJ26C005100,OPCOES DE DOLAR COMERCIAL
MGLUV600W1,BVMF-Equities\MGLUV600W1,"MGLUE       ON    6,00"
DOLJ26C005100E,BVMF-Derivatives\DOLJ26C005100E,OPCOES DE DOLAR COMERCIAL
LRENV145W1,BVMF-Equities\LRENV145W1,"LRENE   /EJ ON   14,31"
DOLJ26C005050E,BVMF-Derivatives\DOLJ26C005050E,OPCOES DE DOLAR COMERCIAL
MGLUM539,BVMF-Equities\MGLUM539,"MGLUE       ON    5,39"
DOLJ26P005050,BVMF-Derivatives\DOLJ26P005050,OPCOES DE DOLAR COMERCIAL
IRBRE850E,BVMF-Equities\IRBRE850E,"IRBR        ON   85,00"
DOLJ26P005100,BVMF-Derivatives\DOLJ26P005100,OPCOES DE DOLAR COMERCIAL
LRENJ185W1,BVMF-Equities\LRENJ185W1,"LREN    /EJ ON   18,31"
DOLJ26C005150E,BVMF-Derivatives\DOLJ26C005150E,OPCOES DE DOLAR COMERCIAL
MGLUJ860W1,BVMF-Equities\MGLUJ860W1,"MGLU        ON    8,60"
DOLJ26C005150,BVMF-Derivatives\DOLJ26C005150,OPCOES DE DOLAR COMERCIAL
MGLUA579,BVMF-Equities\MGLUA579,"MGLUE       ON    5,79"
DOLJ26P005150,BVMF-Derivatives\DOLJ26P005150,OPCOES DE DOLAR COMERCIAL
MGLUV860W1,BVMF-Equities\MGLUV860W1,"MGLUE       ON    8,60"
DOLJ26P005100E,BVMF-Derivatives\DOLJ26P005100E,OPCOES DE DOLAR COMERCIAL
LRENV185W1,BVMF-Equities\LRENV185W1,"LRENE   /EJ ON   18,31"
DOLJ26C005200,BVMF-Derivatives\DOLJ26C005200,OPCOES DE DOLAR COMERCIAL
MGLUV820W1,BVMF-Equities\MGLUV820W1,"MGLUE       ON    8,20"
DOLJ26P005200,BVMF-Derivatives\DOLJ26P005200,OPCOES DE DOLAR COMERCIAL
LRENV170W1,BVMF-Equities\LRENV170W1,"LRENE   /EJ ON   16,81"
DOLJ26P005200E,BVMF-Derivatives\DOLJ26P005200E,OPCOES DE DOLAR COMERCIAL
LRENJ160W1,BVMF-Equities\LRENJ160W1,"LREN  FM/EJ ON   15,81"
DOLJ26P005150E,BVMF-Derivatives\DOLJ26P005150E,OPCOES DE DOLAR COMERCIAL
LRENJ200W1,BVMF-Equities\LRENJ200W1,"LREN    /EJ ON   19,81"
DOLJ26C005200E,BVMF-Derivatives\DOLJ26C005200E,OPCOES DE DOLAR COMERCIAL
MGLUM609,BVMF-Equities\MGLUM609,"MGLUE       ON    6,09"
DOLJ26C005250,BVMF-Derivatives\DOLJ26C005250,OPCOES DE DOLAR COMERCIAL
LRENV135W1,BVMF-Equities\LRENV135W1,"LRENE   /EJ ON   13,31"
DOLJ26C005300,BVMF-Derivatives\DOLJ26C005300,OPCOES DE DOLAR COMERCIAL
MGLUV780W1,BVMF-Equities\MGLUV780W1,"MGLUE       ON    7,80"
DOLJ26C005250E,BVMF-Derivatives\DOLJ26C005250E,OPCOES DE DOLAR COMERCIAL
MGLUJ540W1,BVMF-Equities\MGLUJ540W1,"MGLU        ON    5,40"
DOLJ26P005250E,BVMF-Derivatives\DOLJ26P005250E,OPCOES DE DOLAR COMERCIAL
LRENV175W1,BVMF-Equities\LRENV175W1,"LRENE   /EJ ON   17,31"
DOLJ26P005250,BVMF-Derivatives\DOLJ26P005250,OPCOES DE DOLAR COMERCIAL
LRENV155W1,BVMF-Equities\LRENV155W1,"LRENE FM/EJ ON   15,31"
DOLJ26P005300,BVMF-Derivatives\DOLJ26P005300,OPCOES DE DOLAR COMERCIAL
MGLUV700W1,BVMF-Equities\MGLUV700W1,"MGLUE       ON    7,00"
DOLJ26P005300E,BVMF-Derivatives\DOLJ26P005300E,OPCOES DE DOLAR COMERCIAL
MGLUA609,BVMF-Equities\MGLUA609,"MGLU        ON    6,09"
DOLJ26C005350,BVMF-Derivatives\DOLJ26C005350,OPCOES DE DOLAR COMERCIAL
MGLUJ720W1,BVMF-Equities\MGLUJ720W1,"MGLU        ON    7,20"
DOLJ26C005350E,BVMF-Derivatives\DOLJ26C005350E,OPCOES DE DOLAR COMERCIAL
LRENV120W1,BVMF-Equities\LRENV120W1,"LRENE   /EJ ON   11,81"
DOLJ26C005300E,BVMF-Derivatives\DOLJ26C005300E,OPCOES DE DOLAR COMERCIAL
LRENJ175W1,BVMF-Equities\LRENJ175W1,"LREN  FM/EJ ON   17,31"
DOLJ26C005400,BVMF-Derivatives\DOLJ26C005400,OPCOES DE DOLAR COMERCIAL
BABAA179,BVMF-Equities\BABAA179,"BABAE       DRN  17,90"
DOLJ26P005350E,BVMF-Derivatives\DOLJ26P005350E,OPCOES DE DOLAR COMERCIAL
MGLUJ620W1,BVMF-Equities\MGLUJ620W1,"MGLU        ON    6,20"
DOLJ26C005400E,BVMF-Derivatives\DOLJ26C005400E,OPCOES DE DOLAR COMERCIAL
MGLUM579,BVMF-Equities\MGLUM579,"MGLUE       ON    5,79"
DOLJ26P005350,BVMF-Derivatives\DOLJ26P005350,OPCOES DE DOLAR COMERCIAL
MGLUJ780W1,BVMF-Equities\MGLUJ780W1,"MGLU        ON    7,80"
DOLJ26P005400,BVMF-Derivatives\DOLJ26P005400,OPCOES DE DOLAR COMERCIAL
MGLUV560W1,BVMF-Equities\MGLUV560W1,"MGLUE       ON    5,60"
DOLJ26P005400E,BVMF-Derivatives\DOLJ26P005400E,OPCOES DE DOLAR COMERCIAL
MGLUM599,BVMF-Equities\MGLUM599,"MGLUE       ON    5,99"
DOLJ26P005450,BVMF-Derivatives\DOLJ26P005450,OPCOES DE DOLAR COMERCIAL
LRENJ155W1,BVMF-Equities\LRENJ155W1,"LREN  FM/EJ ON   15,31"
DOLJ26P005450E,BVMF-Derivatives\DOLJ26P005450E,OPCOES DE DOLAR COMERCIAL
MGLUA529,BVMF-Equities\MGLUA529,"MGLU        ON    5,29"
DOLJ26C005450E,BVMF-Derivatives\DOLJ26C005450E,OPCOES DE DOLAR COMERCIAL
MGLUV640W1,BVMF-Equities\MGLUV640W1,"MGLUE       ON    6,40"
DOLJ26C005450,BVMF-Derivatives\DOLJ26C005450,OPCOES DE DOLAR COMERCIAL
MGLUV740W1,BVMF-Equities\MGLUV740W1,"MGLUE       ON    7,40"
DOLJ26P005500E,BVMF-Derivatives\DOLJ26P005500E,OPCOES DE DOLAR COMERCIAL
IRBRE930E,BVMF-Equities\IRBRE930E,"IRBR        ON   93,00"
DOLJ26P005500,BVMF-Derivatives\DOLJ26P005500,OPCOES DE DOLAR COMERCIAL
LRENV165W1,BVMF-Equities\LRENV165W1,"LRENE FM/EJ ON   16,31"
DOLJ26C005550,BVMF-Derivatives\DOLJ26C005550,OPCOES DE DOLAR COMERCIAL
BABAM179,BVMF-Equities\BABAM179,"BABAE       DRN  17,90"
DOLJ26C005500,BVMF-Derivatives\DOLJ26C005500,OPCOES DE DOLAR COMERCIAL
LRENJ165W1,BVMF-Equities\LRENJ165W1,"LREN  FM/EJ ON   16,31"
DOLJ26C005500E,BVMF-Derivatives\DOLJ26C005500E,OPCOES DE DOLAR COMERCIAL
MGLUV620W1,BVMF-Equities\MGLUV620W1,"MGLUE       ON    6,20"
DOLJ26C005600E,BVMF-Derivatives\DOLJ26C005600E,OPCOES DE DOLAR COMERCIAL
LRENV150W1,BVMF-Equities\LRENV150W1,"LRENE FM/EJ ON   14,81"
DOLJ26C005600,BVMF-Derivatives\DOLJ26C005600,OPCOES DE DOLAR COMERCIAL
LRENV125W1,BVMF-Equities\LRENV125W1,"LRENE   /EJ ON   12,31"
DOLJ26C005550E,BVMF-Derivatives\DOLJ26C005550E,OPCOES DE DOLAR COMERCIAL
MGLUA509,BVMF-Equities\MGLUA509,"MGLU        ON    5,09"
DOLJ26P005550E,BVMF-Derivatives\DOLJ26P005550E,OPCOES DE DOLAR COMERCIAL
LRENV110W1,BVMF-Equities\LRENV110W1,"LRENE   /EJ ON   10,81"
DOLJ26P005550,BVMF-Derivatives\DOLJ26P005550,OPCOES DE DOLAR COMERCIAL
MGLUA629,BVMF-Equities\MGLUA629,"MGLU        ON    6,29"
DOLJ26P005600E,BVMF-Derivatives\DOLJ26P005600E,OPCOES DE DOLAR COMERCIAL
MGLUV540W1,BVMF-Equities\MGLUV540W1,"MGLUE       ON    5,40"
DOLJ26P005650,BVMF-Derivatives\DOLJ26P005650,OPCOES DE DOLAR COMERCIAL
MGLUW168,BVMF-Equities\MGLUW168,"MGLUE       ON   16,84"
DOLJ26C005650E,BVMF-Derivatives\DOLJ26C005650E,OPCOES DE DOLAR COMERCIAL
MGLUV261,BVMF-Equities\MGLUV261,"MGLUE       ON   26,19"
DOLJ26P005600,BVMF-Derivatives\DOLJ26P005600,OPCOES DE DOLAR COMERCIAL
LRENV195W1,BVMF-Equities\LRENV195W1,"LRENE   /EJ ON   19,31"
DOLJ26C005650,BVMF-Derivatives\DOLJ26C005650,OPCOES DE DOLAR COMERCIAL
BABAA181,BVMF-Equities\BABAA181,"BABA        DRN  18,15"
DOLJ26C005700E,BVMF-Derivatives\DOLJ26C005700E,OPCOES DE DOLAR COMERCIAL
MGLUW409,BVMF-Equities\MGLUW409,"MGLUE       ON    4,09"
DOLJ26P005650E,BVMF-Derivatives\DOLJ26P005650E,OPCOES DE DOLAR COMERCIAL
LRENJ250E,BVMF-Equities\LRENJ250E,"LREN    /EJ ON   24,83"
DOLJ26C005700,BVMF-Derivatives\DOLJ26C005700,OPCOES DE DOLAR COMERCIAL
MGLUV281,BVMF-Equities\MGLUV281,"MGLUE       ON   28,19"
DOLJ26P005700,BVMF-Derivatives\DOLJ26P005700,OPCOES DE DOLAR COMERCIAL
LRENJ185W1E,BVMF-Equities\LRENJ185W1E,"LREN    /EJ ON   18,31"
DOLJ26P005700E,BVMF-Derivatives\DOLJ26P005700E,OPCOES DE DOLAR COMERCIAL
MGLUJ281,BVMF-Equities\MGLUJ281,"MGLU        ON   28,19"
DOLJ26P005750E,BVMF-Derivatives\DOLJ26P005750E,OPCOES DE DOLAR COMERCIAL
LRENJ195W1E,BVMF-Equities\LRENJ195W1E,"LREN    /EJ ON   19,31"
DOLJ26C005750,BVMF-Derivatives\DOLJ26C005750,OPCOES DE DOLAR COMERCIAL
IRBRJ445E,BVMF-Equities\IRBRJ445E,"IRBR        ON   44,50"
DOLJ26C005800,BVMF-Derivatives\DOLJ26C005800,OPCOES DE DOLAR COMERCIAL
MGLUV19,BVMF-Equities\MGLUV19,"MGLUE       ON    1,99"
DOLJ26C005750E,BVMF-Derivatives\DOLJ26C005750E,OPCOES DE DOLAR COMERCIAL
MGLUV266,BVMF-Equities\MGLUV266,"MGLUE       ON   26,69"
DOLJ26P005750,BVMF-Derivatives\DOLJ26P005750,OPCOES DE DOLAR COMERCIAL
LRENJ190W1E,BVMF-Equities\LRENJ190W1E,"LREN    /EJ ON   18,81"
DOLJ26C005850E,BVMF-Derivatives\DOLJ26C005850E,OPCOES DE DOLAR COMERCIAL
MGLUK409,BVMF-Equities\MGLUK409,"MGLUE       ON    4,09"
DOLJ26P005800,BVMF-Derivatives\DOLJ26P005800,OPCOES DE DOLAR COMERCIAL
LRENJ200W1E,BVMF-Equities\LRENJ200W1E,"LREN    /EJ ON   19,81"
DOLJ26P005800E,BVMF-Derivatives\DOLJ26P005800E,OPCOES DE DOLAR COMERCIAL
MGLUV276,BVMF-Equities\MGLUV276,"MGLUE       ON   27,69"
DOLJ26C005850,BVMF-Derivatives\DOLJ26C005850,OPCOES DE DOLAR COMERCIAL
MGLUU363,BVMF-Equities\MGLUU363,"MGLUE       ON   36,34"
DOLJ26C005800E,BVMF-Derivatives\DOLJ26C005800E,OPCOES DE DOLAR COMERCIAL
MGLUJ261,BVMF-Equities\MGLUJ261,"MGLU        ON   26,19"
DOLJ26P005850,BVMF-Derivatives\DOLJ26P005850,OPCOES DE DOLAR COMERCIAL
MGLUK144,BVMF-Equities\MGLUK144,"MGLU        ON    1,44"
DOLJ26C005900E,BVMF-Derivatives\DOLJ26C005900E,OPCOES DE DOLAR COMERCIAL
IRBRK540E,BVMF-Equities\IRBRK540E,"IRBR        ON   54,00"
DOLJ26P005850E,BVMF-Derivatives\DOLJ26P005850E,OPCOES DE DOLAR COMERCIAL
MGLUI760W4E,BVMF-Equities\MGLUI760W4E,"MGLU        ON    7,60"
DOLJ26P005900,BVMF-Derivatives\DOLJ26P005900,OPCOES DE DOLAR COMERCIAL
MGLUW154,BVMF-Equities\MGLUW154,"MGLUE       ON    1,54"
DOLJ26C005900,BVMF-Derivatives\DOLJ26C005900,OPCOES DE DOLAR COMERCIAL
MGLUK110,BVMF-Equities\MGLUK110,"MGLUE       ON   11,09"
DOLJ26P005900E,BVMF-Derivatives\DOLJ26P005900E,OPCOES DE DOLAR COMERCIAL
MGLUJ13E,BVMF-Equities\MGLUJ13E,"MGLU        ON    1,34"
DOLJ26C005950E,BVMF-Derivatives\DOLJ26C005950E,OPCOES DE DOLAR COMERCIAL
MGLUW110,BVMF-Equities\MGLUW110,"MGLUE       ON   11,09"
DOLJ26C005950,BVMF-Derivatives\DOLJ26C005950,OPCOES DE DOLAR COMERCIAL
MGLUV271,BVMF-Equities\MGLUV271,"MGLUE       ON   27,19"
DOLJ26P005950E,BVMF-Derivatives\DOLJ26P005950E,OPCOES DE DOLAR COMERCIAL
MGLUJ271,BVMF-Equities\MGLUJ271,"MGLU        ON   27,19"
DOLJ26P005950,BVMF-Derivatives\DOLJ26P005950,OPCOES DE DOLAR COMERCIAL
MGLUJ266,BVMF-Equities\MGLUJ266,"MGLU        ON   26,69"
DOLJ26P006000,BVMF-Derivatives\DOLJ26P006000,OPCOES DE DOLAR COMERCIAL
MGLUW144,BVMF-Equities\MGLUW144,"MGLUE       ON    1,44"
DOLJ26C006000E,BVMF-Derivatives\DOLJ26C006000E,OPCOES DE DOLAR COMERCIAL
LRENJ180W1E,BVMF-Equities\LRENJ180W1E,"LREN    /EJ ON   17,81"
DOLJ26P006000E,BVMF-Derivatives\DOLJ26P006000E,OPCOES DE DOLAR COMERCIAL
IRBRK495E,BVMF-Equities\IRBRK495E,"IRBR        ON   49,50"
DOLJ26C006000,BVMF-Derivatives\DOLJ26C006000,OPCOES DE DOLAR COMERCIAL
MGLUJ189,BVMF-Equities\MGLUJ189,"MGLUE       ON    1,89"
USDCMB,BVMF-Derivatives\USDCMB,CAMBIO - CMB
MGLUJ209,BVMF-Equities\MGLUJ209,"MGLUE       ON    2,09"
DOLF28C005500,BVMF-Derivatives\DOLF28C005500,OPCOES DE DOLAR COMERCIAL
MGLUK154,BVMF-Equities\MGLUK154,"MGLU        ON    1,54"
DOLF28P005500,BVMF-Derivatives\DOLF28P005500,OPCOES DE DOLAR COMERCIAL
MGLUJ800W1E,BVMF-Equities\MGLUJ800W1E,"MGLU        ON    8,00"
DOLF28C005600,BVMF-Derivatives\DOLF28C005600,OPCOES DE DOLAR COMERCIAL
MGLUK103E,BVMF-Equities\MGLUK103E,"MGLU  FM    ON   10,34"
DOLF28P005500E,BVMF-Derivatives\DOLF28P005500E,OPCOES DE DOLAR COMERCIAL
MGLUI363,BVMF-Equities\MGLUI363,"MGLUE       ON   36,34"
DOLF28C005500E,BVMF-Derivatives\DOLF28C005500E,OPCOES DE DOLAR COMERCIAL
MGLUJ276,BVMF-Equities\MGLUJ276,"MGLU        ON   27,69"
DOLF28C005700,BVMF-Derivatives\DOLF28C005700,OPCOES DE DOLAR COMERCIAL
MGLUV17,BVMF-Equities\MGLUV17,"MGLUE       ON    1,79"
DOLF28P005600E,BVMF-Derivatives\DOLF28P005600E,OPCOES DE DOLAR COMERCIAL
MGLUK168,BVMF-Equities\MGLUK168,"MGLU        ON   16,84"
DOLF28P005600,BVMF-Derivatives\DOLF28P005600,OPCOES DE DOLAR COMERCIAL
MGLUV209,BVMF-Equities\MGLUV209,"MGLUE       ON    2,09"
DOLF28C005700E,BVMF-Derivatives\DOLF28C005700E,OPCOES DE DOLAR COMERCIAL
LRENJ245E,BVMF-Equities\LRENJ245E,"LREN    /EJ ON   24,33"
DOLF28C005600E,BVMF-Derivatives\DOLF28C005600E,OPCOES DE DOLAR COMERCIAL
IRBRK530E,BVMF-Equities\IRBRK530E,"IRBR        ON   53,00"
DOLF28C005800,BVMF-Derivatives\DOLF28C005800,OPCOES DE DOLAR COMERCIAL
MGLUB650E,BVMF-Equities\MGLUB650E,"MGLU        ON   64,69"
DOLF28C005800E,BVMF-Derivatives\DOLF28C005800E,OPCOES DE DOLAR COMERCIAL
LRENJ205W1E,BVMF-Equities\LRENJ205W1E,"LREN    /EJ ON   20,31"
DOLF28P005700E,BVMF-Derivatives\DOLF28P005700E,OPCOES DE DOLAR COMERCIAL
MGLUJ19,BVMF-Equities\MGLUJ19,"MGLUE       ON    1,99"
DOLF28P005700,BVMF-Derivatives\DOLF28P005700,OPCOES DE DOLAR COMERCIAL
MGLUV189,BVMF-Equities\MGLUV189,"MGLUE       ON    1,89"
DOLF28P005800,BVMF-Derivatives\DOLF28P005800,OPCOES DE DOLAR COMERCIAL
MGLUJ17,BVMF-Equities\MGLUJ17,"MGLUE       ON    1,79"
DOLF28P005900E,BVMF-Derivatives\DOLF28P005900E,OPCOES DE DOLAR COMERCIAL
LRENJ175W1E,BVMF-Equities\LRENJ175W1E,"LREN  FM/EJ ON   17,31"
DOLF28C005900E,BVMF-Derivatives\DOLF28C005900E,OPCOES DE DOLAR COMERCIAL
MGLUK124,BVMF-Equities\MGLUK124,"MGLU        ON    1,24"
DOLF28P005900,BVMF-Derivatives\DOLF28P005900,OPCOES DE DOLAR COMERCIAL
LRENJ170W1E,BVMF-Equities\LRENJ170W1E,"LREN  FM/EJ ON   16,81"
DOLF28P005800E,BVMF-Derivatives\DOLF28P005800E,OPCOES DE DOLAR COMERCIAL
LRENJ165W1E,BVMF-Equities\LRENJ165W1E,"LREN  FM/EJ ON   16,31"
DOLF28C005900,BVMF-Derivatives\DOLF28C005900,OPCOES DE DOLAR COMERCIAL
IRBRB200E,BVMF-Equities\IRBRB200E,"IRBR        ON  200,00"
DOLF28C006000,BVMF-Derivatives\DOLF28C006000,OPCOES DE DOLAR COMERCIAL
MGLUJ291,BVMF-Equities\MGLUJ291,"MGLU        ON   29,19"
DOLF28P006000E,BVMF-Derivatives\DOLF28P006000E,OPCOES DE DOLAR COMERCIAL
MGLUI368,BVMF-Equities\MGLUI368,"MGLUE       ON   36,84"
DOLF28C006100,BVMF-Derivatives\DOLF28C006100,OPCOES DE DOLAR COMERCIAL
MGLUU368,BVMF-Equities\MGLUU368,"MGLUE       ON   36,84"
DOLF28P006000,BVMF-Derivatives\DOLF28P006000,OPCOES DE DOLAR COMERCIAL
MGLUW940,BVMF-Equities\MGLUW940,"MGLUE       ON    0,94"
DOLF28C006000E,BVMF-Derivatives\DOLF28C006000E,OPCOES DE DOLAR COMERCIAL
IRBRK520E,BVMF-Equities\IRBRK520E,"IRBR        ON   52,00"
DOLF28P006100E,BVMF-Derivatives\DOLF28P006100E,OPCOES DE DOLAR COMERCIAL
MGLUK130,BVMF-Equities\MGLUK130,"MGLUE       ON   13,09"
DOLF28P006100,BVMF-Derivatives\DOLF28P006100,OPCOES DE DOLAR COMERCIAL
MGLUW124,BVMF-Equities\MGLUW124,"MGLUE       ON    1,24"
DOLF28C006200,BVMF-Derivatives\DOLF28C006200,OPCOES DE DOLAR COMERCIAL
MGLUW114,BVMF-Equities\MGLUW114,"MGLUE       ON    1,14"
DOLF28C006100E,BVMF-Derivatives\DOLF28C006100E,OPCOES DE DOLAR COMERCIAL
MGLUK134,BVMF-Equities\MGLUK134,"MGLU        ON    1,34"
DOLF28C006200E,BVMF-Derivatives\DOLF28C006200E,OPCOES DE DOLAR COMERCIAL
MGLUK145,BVMF-Equities\MGLUK145,"MGLUE       ON   14,59"
DOLF28C006300E,BVMF-Derivatives\DOLF28C006300E,OPCOES DE DOLAR COMERCIAL
MGLUK114,BVMF-Equities\MGLUK114,"MGLU        ON    1,14"
DOLF28P006200,BVMF-Derivatives\DOLF28P006200,OPCOES DE DOLAR COMERCIAL
MGLUV140,BVMF-Equities\MGLUV140,"MGLUE       ON    0,14"
DOLF28C006300,BVMF-Derivatives\DOLF28C006300,OPCOES DE DOLAR COMERCIAL
MGLUW120,BVMF-Equities\MGLUW120,"MGLUE       ON   12,09"
DOLF28P006300,BVMF-Derivatives\DOLF28P006300,OPCOES DE DOLAR COMERCIAL
