Symbol,Path,Description
MGEL3,BVMF-Equities\MGEL3,MANGELS INDLON
FESA3M,BVMF-Equities\FESA3M,FERBASA     ON      N1
MGEL4Q,BVMF-Equities\MGEL4Q,MANGELS INDLPN
MGEL4R,BVMF-Equities\MGEL4R,MANGELS INDLPN
MGEL4M,BVMF-Equities\MGEL4M,MANGELS INDLPN
BSLI4T,BVMF-Equities\BSLI4T,BRB BANCO   PN
BAZA3T,BVMF-Equities\BAZA3T,AMAZONIA    ON
BMIN4T,BVMF-Equities\BMIN4T,MERC INVEST PN
BRSR5T,BVMF-Equities\BRSR5T,BANRISUL    PNA     N1
BMIN3T,BVMF-Equities\BMIN3T,MERC INVEST ON
MERC3T,BVMF-Equities\MERC3T,MERC FINANC ON
BBDC4T,BVMF-Equities\BBDC4T,BRADESCO    PN  EJ  N1
BRSR3T,BVMF-Equities\BRSR3T,BANRISUL    ON      N1
BRSR6T,BVMF-Equities\BRSR6T,BANRISUL    PNB     N1
BNBR3T,BVMF-Equities\BNBR3T,NORD BRASIL ON
BPAN4T,BVMF-Equities\BPAN4T,BANCO PAN   PN      N1
BBDC3T,BVMF-Equities\BBDC3T,BRADESCO    ON  EJ  N1
RPAD6T,BVMF-Equities\RPAD6T,ALFA HOLDINGPNB ED
RPAD3T,BVMF-Equities\RPAD3T,ALFA HOLDINGON  ED
UGPA3T,BVMF-Equities\UGPA3T,ULTRAPAR    ON      NM
PINE3T,BVMF-Equities\PINE3T,PINE        ON      N2
BEES4T,BVMF-Equities\BEES4T,BANESTES    PN
BEES3T,BVMF-Equities\BEES3T,BANESTES    ON
MERC4T,BVMF-Equities\MERC4T,MERC FINANC PN
RPAD5T,BVMF-Equities\RPAD5T,ALFA HOLDINGPNA ED
BMEB3T,BVMF-Equities\BMEB3T,MERCANTIL   ON      N1
BPAR3T,BVMF-Equities\BPAR3T,BANPARA     ON  EJ
BGIP4T,BVMF-Equities\BGIP4T,BANESE      PN
ITSA4T,BVMF-Equities\ITSA4T,ITAUSA      PN      N1
PINE4T,BVMF-Equities\PINE4T,PINE        PN      N2
ABCB4T,BVMF-Equities\ABCB4T,ABC BRASIL  PN      N2
BSLI3T,BVMF-Equities\BSLI3T,BRB BANCO   ON
BMEB4T,BVMF-Equities\BMEB4T,MERCANTIL   PN      N1
BGIP3T,BVMF-Equities\BGIP3T,BANESE      ON
TF554,BVMF-Equities\TF554,ATIVO TESTE   ON DR
TF553,BVMF-Equities\TF553,ATIVO TESTE ON
ITUB3T,BVMF-Equities\ITUB3T,ITAUUNIBANCOON      N1
ITUB4T,BVMF-Equities\ITUB4T,ITAUUNIBANCOPN      N1
SANB11T,BVMF-Equities\SANB11T,SANTANDER BRUNT
ITSA3T,BVMF-Equities\ITSA3T,ITAUSA      ON      N1
PINE11,BVMF-Equities\PINE11,PINE        BNS     N2
BRAP3T,BVMF-Equities\BRAP3T,BRADESPAR   ON      N1
BRAP4T,BVMF-Equities\BRAP4T,BRADESPAR   PN      N1
SANB4T,BVMF-Equities\SANB4T,SANTANDER BRPN
SANB3T,BVMF-Equities\SANB3T,SANTANDER BRON
RPAD3F,BVMF-Equities\RPAD3F,ALFA HOLDINGON  ED
RPAD3,BVMF-Equities\RPAD3,ALFA HOLDINGON  ED
RPAD6,BVMF-Equities\RPAD6,ALFA HOLDINGPNB ED
RPAD6F,BVMF-Equities\RPAD6F,ALFA HOLDINGPNB ED
PINE11F,BVMF-Equities\PINE11F,PINE        BNS     N2
BPAN4Q,BVMF-Equities\BPAN4Q,BANCO PAN   PN      N1
BPAN4R,BVMF-Equities\BPAN4R,BANCO PAN   PN      N1
BPAN4M,BVMF-Equities\BPAN4M,BANCO PAN   PN      N1
BPAN4F,BVMF-Equities\BPAN4F,BANCO PAN   PN      N1
BPAN4,BVMF-Equities\BPAN4,BANCO PAN   PN      N1
PINE13,BVMF-Equities\PINE13,PINE        BNS     N2
RPAD5Q,BVMF-Equities\RPAD5Q,ALFA HOLDINGPNA ED
RPAD5F,BVMF-Equities\RPAD5F,ALFA HOLDINGPNA ED
